Pattern String,Frequency,Sequence Support,Average Pattern Frequency,Proportional Pattern Frequency
BBC,626,1,26.08333333,0.014047528
CDD,600,1,25,0.013464085
BBB,1886,1,78.58333333,0.042322106
BCD,279,1,11.625,0.006260799
BCC,379,1,15.79166667,0.008504813
DCB,212,1,8.833333333,0.00475731
DCD,169,1,7.041666667,0.003792384
CBB,634,1,26.41666667,0.014227049
DDC,533,1,22.20833333,0.011960595
DDD,1621,1,67.54166667,0.036375468
CCB,478,1,19.91666667,0.010726387
CCD,455,1,18.95833333,0.010210264
DDCB,81,1,3.375,0.001818631
CBBB,257,1,10.70833333,0.005770224
CCBB,205,1,8.541666667,0.004602708
CDC,375,0.958333333,15.625,0.008415053
BCB,207,0.958333333,8.625,0.004645109
BDD,292,0.958333333,12.16666667,0.006552521
EBB,205,0.958333333,8.541666667,0.004600229
DBB,363,0.958333333,15.125,0.008145771
DCC,386,0.958333333,16.08333333,0.008661894
CCC,667,0.958333333,27.79166667,0.014967574
BBBB,919,0.958333333,38.29166667,0.020633602
BBCD,114,0.958333333,4.75,0.002559555
CCDD,184,0.958333333,7.666666667,0.004131211
DCBB,93,0.958333333,3.875,0.002088058
BBD,340,0.916666667,14.16666667,0.007629648
HHH,716,0.916666667,29.83333333,0.016067141
DCE,153,0.916666667,6.375,0.003433342
DDF,88,0.916666667,3.666666667,0.001974732
BBBC,269,0.916666667,11.20833333,0.006039651
DDDC,167,0.916666667,6.958333333,0.003749523
DDCC,151,0.916666667,6.291666667,0.003390287
DDDD,853,0.916666667,35.54166667,0.019151755
CCCC,246,0.916666667,10.25,0.005523249
CDDD,189,0.916666667,7.875,0.004243472
CDDC,173,0.916666667,7.208333333,0.003884236
BDC,84,0.875,3.5,0.001884972
FCB,144,0.875,6,0.00323138
ECD,128,0.875,5.333333333,0.002872338
FFC,148,0.875,6.166666667,0.003321141
EDD,238,0.875,9.916666667,0.005340754
DDB,314,0.875,13.08333333,0.007046204
CBD,115,0.875,4.791666667,0.002580616
CBC,357,0.875,14.875,0.00801113
BBCB,88,0.875,3.666666667,0.001975796
BBBD,161,0.875,6.708333333,0.003614809
BBCC,200,0.875,8.333333333,0.004490447
HHHH,528,0.875,22,0.011854779
BCBB,88,0.875,3.666666667,0.001975796
CBBC,151,0.875,6.291666667,0.003390287
CCCB,129,0.875,5.375,0.002896338
CCDC,120,0.875,5,0.002694268
CCCD,103,0.875,4.291666667,0.00231258
DBBB,174,0.875,7.25,0.003906689
DCCC,103,0.875,4.291666667,0.00231258
BBBBB,479,0.875,19.95833333,0.010760418
CDB,127,0.833333333,5.291666667,0.002849898
